As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
AMP,AMG,AMG,AME,AMP,AMT,AMT
AMT,AMGN,AMGN,AMGN,AMT,AMZN,AMZN
AMZN,AMP,AMP,AMP,AMZN,ANET,ANET
AN,AMT,AMT,AMT,ANET,ANSS,ANSS
ANDV,AMZN,AMZN,AMZN,ANSS,AON,AON
AON,ANDV,ANET,ANET,AON,AOS,AOS
APA,ANSS,ANSS,ANSS,AOS,APA,APA
APC,AON,AON,AON,APA,APD,APD
APD,AOS,AOS,AOS,APD,APH,APH
APH,APA,APA,APA,APH,APTV,APTV
APTV,APC,APC,APD,APTV,ARE,ARE
ATVI,APD,APD,APH,ARE,ATO,ATO
AVB,APH,APH,APTV,ATO,ATVI,ATVI
AVGO,APTV,APTV,ARE,ATVI,AVB,AVB
AVY,ARE,ARE,ATO,AVB,AVGO,AVGO
AWK,ATVI,ATVI,ATVI,AVGO,AVY,AVY
AXP,AVB,AVB,AVB,AVY,AWK,AWK
AYI,AVGO,AVGO,AVGO,AWK,AXP,AXP
AZO,AVY,AVY,AVY,AXP,AZO,AZO
BA,AWK,AWK,AWK,AZO,BA,BA
BAC,AXP,AXP,AXP,BA,BAC,BAC
BALL,AYI,AZO,AZO,BAC,BALL,BALL
BAX,AZO,BA,BA,BALL,BAX,BAX
BBBYQ,BA,BAC,BAC,BAX,BBWI,BBWI
BBWI,BAC,BALL,BALL,BBWI,BBY,BBY
BBY,BALL,BAX,BAX,BBY,BDX,BDX
BCR,BAX,BBWI,BBWI,BDX,BEN,BEN
BDX,BBWI,BBY,BBY,BEN,BF/B,BF-B
BEN,BBY,BDX,BDX,BF-B,BIIB,BIIB
BF-B,BCR,BEN,BEN,BIIB,BIO,BIO
BFH,BDX,BF-B,BF-B,BIO,BK,BK
BHI,BEN,BFH,BFH,BK,BKNG,BKNG
BIIB,BF-B,BHF,BIIB,BKNG,BKR,BKR
BK,BFH,BIIB,BK,BKR,BLK,BLK
BKNG,BHF,BK,BKNG,BLK,BMY,BMY
BLK,BIIB,BKNG,BKR,BMY,BR,BR
BMY,BK,BKR,BLK,BR,BRK/B,BRK-B
BRK-B,BKNG,BLK,BMY,BRK-B,BRO,BRO
BSX,BKR,BMY,BR,BSX,BSX,BSX
BWA,BLK,BR,BRK-B,BWA,BWA,BWA
BXP,BMY,BRK-B,BSX,BXP,BXP,BXP
C,BRK-B,BSX,BWA,C,C,C
CA,BSX,BWA,BXP,CAG,CAG,CAG
CAG,BWA,BXP,C,CAH,CAH,CAH
CAH,BXP,C,CAG,CARR,CARR,CARR
CAT,C,CAG,CAH,CAT,CAT,CAT
CB,CA,CAH,CAT,CB,CB,CB
CBRE,CAG,CAT,CB,CBOE,CBOE,CBOE
CCI,CAH,CB,CBOE,CBRE,CBRE,CBRE
CCL,CAT,CBOE,CBRE,CCI,CCI,CCI
CELG,CB,CBRE,CCI,CCL,CCL,CCL
CERN,CBOE,CCI,CCL,CDNS,CDAY,CDAY
CF,CBRE,CCL,CDNS,CDW,CDNS,CDNS
CFG,CCI,CDNS,CDW,CE,CDW,CDW
CHD,CCL,CE,CE,CERN,CE,CE
CHKAQ,CDNS,CELG,CERN,CF,CERN,CEG
CHRW,CELG,CERN,CF,CFG,CF,CF
CHTR,CERN,CF,CFG,CHD,CFG,CFG
CI,CF,CFG,CHD,CHRW,CHD,CHD
CINF,CFG,CHD,CHRW,CHTR,CHRW,CHRW
CL,CHD,CHRW,CHTR,CI,CHTR,CHTR
CLX,CHKAQ,CHTR,CI,CINF,CI,CI
CMA,CHRW,CI,CINF,CL,CINF,CINF
CMCSA,CHTR,CINF,CL,CLX,CL,CL
CME,CI,CL,CLX,CMA,CLX,CLX
CMG,CINF,CLX,CMA,CMCSA,CMA,CMA
CMI,CL,CMA,CMCSA,CME,CMCSA,CMCSA
CMS,CLX,CMCSA,CME,CMG,CME,CME
CNC,CMA,CME,CMG,CMI,CMG,CMG
CNP,CMCSA,CMG,CMI,CMS,CMI,CMI
COF,CME,CMI,CMS,CNC,CMS,CMS
COL,CMG,CMS,CNC,CNP,CNC,CNC
